202504	D	Ярославль г	40000.000000	1.000000
202504	C	Анапа г	50000.000000	1.000000
202503	D	Архангельск г	50000.000000	1.060000
202503	D	Великий Новгород г	40000.000000	1.000000
202503	D	Владимир г	40000.000000	1.000000
202503	D	Вологда г	40000.000000	1.000000
202503	D	Геленджик г	50000.000000	1.000000
202503	D	Пятигорск г	50000.000000	1.000000
202503	D	Калуга г	40000.000000	1.000000
202503	D	Кострома г	40000.000000	1.000000
202503	D	Мурманск г	60000.000000	1.100000
202503	D	Новороссийск г	50000.000000	1.000000
202503	D	Смоленск г	40000.000000	1.000000
202503	D	Сочи г	60000.000000	1.000000
202503	D	Ставрополь г	40000.000000	1.000000
202503	D	Тамбов г	40000.000000	1.000000
202503	D	Хабаровск г	50000.000000	1.060000
202503	D	Владивосток г	50000.000000	1.030000
202503	B	Санкт-Петербург г	60000.000000	1.000000
202503	B	Волгоград г	50000.000000	1.000000
202503	B	Екатеринбург г	50000.000000	1.000000
202503	B	Казань г	50000.000000	1.000000
202503	B	Нижний Новгород г	50000.000000	1.000000
202503	B	Новосибирск г	50000.000000	1.000000
202503	B	Омск г	40000.000000	1.000000
202503	B	Пермь г	40000.000000	1.000000
202503	B	Ростов-на-Дону г	50000.000000	1.000000
202503	B	Самара г	50000.000000	1.000000
202503	B	Уфа г	40000.000000	1.000000
202503	B	Челябинск г	50000.000000	1.000000
202503	B	Астрахань г	40000.000000	1.000000
202503	B	Барнаул г	40000.000000	1.000000
202503	B	Брянск г	40000.000000	1.000000
202503	B	Воронеж г	40000.000000	1.000000
202503	B	Иваново г	40000.000000	1.000000
202503	B	Ижевск г	40000.000000	1.000000
202503	B	Иркутск г	50000.000000	1.000000
202503	B	Калининград г	40000.000000	1.000000
202503	B	Кемерово г	50000.000000	1.000000
202503	B	Краснодар г	50000.000000	1.000000
202503	B	Красноярск г	50000.000000	1.040000
202503	B	Липецк г	40000.000000	1.000000
202503	B	Магнитогорск г	40000.000000	1.000000
202503	B	Набережные Челны г	40000.000000	1.000000
202503	B	Новокузнецк г	50000.000000	1.000000
202503	B	Оренбург г	40000.000000	1.000000
202503	B	Пенза г	40000.000000	1.000000
202503	B	Рязань г	50000.000000	1.000000
202503	B	Саратов г	50000.000000	1.000000
202503	B	Тверь г	40000.000000	1.000000
202503	B	Тольятти г	40000.000000	1.000000
202503	B	Томск г	50000.000000	1.000000
202503	B	Тула г	40000.000000	1.000000
202503	B	Тюмень г	50000.000000	1.000000
202503	B	Ульяновск г	40000.000000	1.000000
202503	B	Чебоксары г	40000.000000	1.000000
202503	C	Ростов-на-Дону г	50000.000000	1.000000
202503	C	Самара г	50000.000000	1.000000
202503	C	Уфа г	40000.000000	1.000000
202503	C	Челябинск г	50000.000000	1.000000
202503	C	Астрахань г	40000.000000	1.000000
202503	C	Барнаул г	40000.000000	1.000000
202503	C	Брянск г	40000.000000	1.000000
202503	C	Воронеж г	40000.000000	1.000000
202503	C	Иваново г	40000.000000	1.000000
202503	C	Ижевск г	40000.000000	1.000000
202503	C	Иркутск г	50000.000000	1.021930
202503	C	Калининград г	40000.000000	1.000000
202503	C	Кемерово г	50000.000000	1.000000
202503	C	Краснодар г	50000.000000	1.000000
202503	C	Красноярск г	50000.000000	1.021930
